slide,start_time,end_time,title
1,00:00:00,00:00:44,"FOUNDATIONAL"
2,00:00:45,00:01:44,"Course Scope and Limitations"
3,00:01:45,00:02:47,"Learning Objectives"
4,00:02:48,00:03:22,"INTRODUCTION TO LIVE PRODUCTION RIGGING"
5,00:03:23,00:04:20,"What Is Entertainment Rigging?"
6,00:04:21,00:05:21,"Rigging Roles and Chain of Command"
7,00:05:23,00:06:06,"Life-Safety Mindset"
8,00:06:08,00:06:44,"REGULATIONS, STANDARDS, AND RESPONSIBILITY"
9,00:06:45,00:07:35,"The Compliance Hierarchy"
10,00:07:36,00:08:15,"U.S. minimum requirements most relevant to this foundation"
11,00:08:17,00:08:58,"Key Entertainment Standards"
12,00:08:59,00:09:42,"Documentation Makes Work Defensible"
13,00:09:43,00:10:20,"FUNDAMENTAL PHYSICS"
14,00:10:21,00:11:16,"Static, Dynamic, Shock, and Cyclic Loads"
15,00:11:17,00:11:59,"Load Path"
16,00:12:00,00:12:58,"Bridle Tension Formula"
17,00:12:59,00:14:03,"Worked Example: 1,000 lb Symmetrical Bridle"
18,00:14:04,00:14:59,"Dynamic Loading Example"
19,00:15:00,00:16:00,"WLL, MBS, and Design Factor"
20,00:16:01,00:16:42,"Center of Gravity and Load Share"
21,00:16:43,00:17:28,"Mechanical Advantage"
22,00:17:29,00:18:06,"HARDWARE AND CONNECTORS"
23,00:18:07,00:19:05,"Shackles: Select by Load Path"
24,00:19:06,00:20:12,"Shackle Inspection and Misuse"
25,00:20:13,00:21:16,"Eyebolts: Angular Loading Changes Capacity"
26,00:21:17,00:22:12,"Turnbuckles and Master Links"
27,00:22:13,00:23:05,"Wire Rope Clips"
28,00:23:06,00:24:04,"Fall-Protection Connectors"
29,00:24:05,00:24:41,"SLINGS, ROPE, AND TEXTILES"
30,00:24:42,00:25:34,"Material Tendencies—Not Universal Constants"
31,00:25:35,00:26:36,"Hitches, Angles, and Bend Radius"
32,00:26:37,00:27:35,"Synthetic Sling Removal Criteria"
33,00:27:36,00:28:19,"Wire Rope Damage Recognition"
34,00:28:20,00:28:55,"INSPECTION AND REMOVAL FROM SERVICE"
35,00:28:57,00:29:34,"Pre-Use Inspection Sequence"
36,00:29:36,00:30:26,"Who Inspects What?"
37,00:30:27,00:31:14,"Quarantine and Retirement"
38,00:31:15,00:31:50,"KNOTS, HITCHES, AND TERMINATIONS"
39,00:31:52,00:32:48,"Essential Knot Families"
40,00:32:49,00:33:40,"Knot Efficiency"
41,00:33:41,00:34:17,"FALL PROTECTION AND RESCUE"
42,00:34:18,00:35:04,"Restraint vs. Fall Arrest"
43,00:35:05,00:36:06,"Anchorage and Connector Requirements"
44,00:36:07,00:37:05,"Fall Factor"
45,00:37:06,00:38:00,"Fall Clearance and Swing Fall"
46,00:38:01,00:38:45,"Rescue Planning"
47,00:38:46,00:39:35,"After a Fall or Impact"
48,00:39:36,00:40:12,"VENUE AND STRUCTURAL CONSIDERATIONS"
49,00:40:14,00:41:06,"Dead-Hung vs. Motor Points"
50,00:41:07,00:42:05,"Venue Point Documentation"
51,00:42:06,00:42:54,"Temporary Structures and Outdoor Events"
52,00:42:55,00:43:47,"Obstacle Bridles and Redirections"
53,00:43:48,00:44:35,"What an Entry-Level Stagehand Must Never Assume"
54,00:44:36,00:45:11,"OPERATIONS AND COMMUNICATION"
55,00:45:13,00:45:53,"Closed-Loop Communication"
56,00:45:55,00:46:53,"Operational Communication Topics"
57,00:46:54,00:47:50,"Stop-Work Authority"
58,00:47:51,00:48:24,"FAILURE SCENARIOS AND KNOWLEDGE CHECK"
59,00:48:25,00:49:05,"Scenario 1: Flattened Bridle"
60,00:49:06,00:49:50,"Scenario 2: Unmarked Shackle"
61,00:49:51,00:50:39,"Scenario 3: Side-Loaded Eyebolt"
62,00:50:40,00:51:24,"Scenario 4: Damaged Sling"
63,00:51:25,00:52:09,"Scenario 5: Unknown Venue Point"
64,00:52:10,00:52:50,"Scenario 6: No Rescue Plan"
65,00:52:52,00:53:36,"Knowledge Check"
66,00:53:37,00:54:16,"Knowledge Check"
67,00:54:17,00:54:53,"Knowledge Check"
68,00:54:54,00:55:26,"FINAL TAKEAWAYS"
69,00:55:27,00:56:13,"Twelve Rules to Carry Onto the Job"
70,00:56:14,00:56:54,"Recommended Learning Path"
71,00:56:55,00:57:24,"References 1 of 3"
72,00:57:25,00:58:06,"References 2 of 3"
73,00:58:07,00:58:57,"References 3 of 3"
74,00:58:58,00:59:54,"Final Disclaimer"
